record_index,timestamp,sat_id,international_designator,launch_year,launch_num,launch_piece,sma,ecc,inc,raan,aop,true_anomaly,cluster_label,is_noise,umap_1,umap_2,umap_3,source_folder,inclination_group,inclination_sort,local_cluster_label,global_cluster_id
326,2025-04-10 00:00:00,sat1646.txt,20062AC,20,62,AC,6925.3525,0.0001251,53.0561,53.5399,82.4894,71.841721,-1,1,0.60980022,-2.962172,5.8981333,starlink_labels_53.0,53.0,53,-1,0
327,2025-04-10 00:00:00,sat1647.txt,21024B,21,24,B,6925.3293,0.0001357,53.0553,32.2941,77.5583,7.5830518,-1,1,-0.86895674,-0.94657069,4.3728256,starlink_labels_53.0,53.0,53,-1,0
332,2025-04-10 00:00:00,sat1655.txt,21012D,21,12,D,6925.3465,0.0001494,53.0555,63.4124,92.6431,266.73931,-1,1,2.6391218,-3.8032942,4.7498131,starlink_labels_53.0,53.0,53,-1,0
337,2025-04-10 00:00:00,sat1663.txt,20070D,20,70,D,6925.4015,0.0001569,53.0536,231.2994,89.4448,236.39173,-1,1,10.136702,7.9441195,4.728394,starlink_labels_53.0,53.0,53,-1,0
346,2025-04-10 00:00:00,sat1676.txt,20070AA,20,70,AA,6925.3816,0.0001685,53.0548,231.5308,55.6704,190.11151,-1,1,9.2327156,7.5435729,4.0183377,starlink_labels_53.0,53.0,53,-1,0
347,2025-04-10 00:00:00,sat1677.txt,20070AW,20,70,AW,6925.4164,0.0001538,53.0542,216.3233,101.6544,246.69551,-1,1,11.85497,5.8695774,4.4781046,starlink_labels_53.0,53.0,53,-1,0
349,2025-04-10 00:00:00,sat1679.txt,20070AB,20,70,AB,6925.4194,0.0001318,53.0549,215.98,80.259,253.42462,-1,1,11.759198,5.8748007,4.2078776,starlink_labels_53.0,53.0,53,-1,0
350,2025-04-10 00:00:00,sat1680.txt,20070AC,20,70,AC,6925.6154,0.0001674,53.0552,216.5999,90.007,238.10921,-1,1,11.498778,5.8232102,4.0257845,starlink_labels_53.0,53.0,53,-1,0
354,2025-04-10 00:00:00,sat1687.txt,20070K,20,70,K,6925.5116,0.0001944,53.0546,211.672,113.7365,301.85448,-1,1,11.989076,4.7136369,5.2656817,starlink_labels_53.0,53.0,53,-1,0
361,2025-04-10 00:00:00,sat1705.txt,20070AZ,20,70,AZ,6925.3935,0.0001321,53.0546,216.55,96.849,171.35628,-1,1,10.651056,5.56636,3.6074364,starlink_labels_53.0,53.0,53,-1,0
365,2025-04-10 00:00:00,sat1712.txt,20070BB,20,70,BB,6925.4975,0.0001532,53.054,211.8076,92.3717,123.1482,-1,1,10.242843,4.4156322,4.2157626,starlink_labels_53.0,53.0,53,-1,0
379,2025-04-10 00:00:00,sat1735.txt,20070AK,20,70,AK,6925.3682,0.00015,53.0543,211.7195,97.6229,17.897682,-1,1,11.228259,4.2216682,5.5290051,starlink_labels_53.0,53.0,53,-1,0
380,2025-04-10 00:00:00,sat1736.txt,20070BF,20,70,BF,6925.4149,0.000134,53.0543,211.9739,83.421,271.98105,-1,1,12.192369,5.2026191,4.375524,starlink_labels_53.0,53.0,53,-1,0
383,2025-04-10 00:00:00,sat1740.txt,20070AL,20,70,AL,6925.4009,0.0001716,53.0537,211.7908,79.2146,116.32593,-1,1,10.212928,4.1921101,4.6451206,starlink_labels_53.0,53.0,53,-1,0
384,2025-04-10 00:00:00,sat1741.txt,20070AM,20,70,AM,6925.4064,0.0001583,53.0553,211.6548,101.6023,294.01993,-1,1,12.119019,4.8467007,4.9399643,starlink_labels_53.0,53.0,53,-1,0
389,2025-04-10 00:00:00,sat1759.txt,20062R,20,62,R,6925.3829,0.0001585,53.0546,73.5897,102.8921,81.404758,-1,1,3.0141211,-5.1577711,6.8478899,starlink_labels_53.0,53.0,53,-1,0
